matrix_id,condition_number,kappa,matrix_size,grid_size,target_size,sparsity,nnz,pde_type,rhs_mode,cond_method,symmetric,eps,contrast,beta_x,beta_y
39,32.95341484562677,32.95341484562677,324,18,295,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.0077525332106824,,2.794245252528164,6.200935398508921
40,103.08686891981776,103.08686891981776,225,15,209,0.021037037037037,1065,poisson_2d,smooth,auto,True,,,,
41,67.82742906960326,67.82742906960326,144,12,138,0.0324074074074074,672,anisotropic_poisson_2d,smooth,auto,True,6.585108852918552e-07,,,
42,783883.3826326214,783883.3826326214,256,16,253,0.0185546875,1216,high_contrast_diffusion_2d,smooth,auto,True,,4393740.640675483,,
43,21.87240637162994,21.87240637162994,144,12,122,0.0324074074074074,672,convection_diffusion_2d,smooth,auto,False,0.0485151559684338,,6.981491954006703,-0.95959906990797
44,161.44763879758975,161.44763879758975,361,19,348,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
45,78.7699822409715,78.7699822409715,169,13,165,0.02776513427401,793,anisotropic_poisson_2d,smooth,auto,True,0.0006414891818264,,,
46,1431149250.2295468,1431149250.2295468,324,18,323,0.0147462277091906,1548,high_contrast_diffusion_2d,smooth,auto,True,,6423475503.002214,,
47,69.48500805938227,69.48500805938227,441,21,420,0.0109059496814598,2121,convection_diffusion_2d,smooth,auto,False,0.1705272447514305,,2.741140004503265,-8.569822715586675
48,116.46119157748814,116.46119157748814,256,16,237,0.0185546875,1216,poisson_2d,smooth,auto,True,,,,
49,48.37415007870822,48.37415007870822,100,10,100,0.046,460,anisotropic_poisson_2d,smooth,auto,True,2.107883641818604e-06,,,
50,6110473897.363426,6110473897.363426,121,11,116,0.0383170548459804,561,high_contrast_diffusion_2d,smooth,auto,True,,47789786188.18166,,
51,57.164489671209225,57.164489671209225,400,20,382,0.012,1920,convection_diffusion_2d,smooth,auto,False,0.0772508772076947,,3.742958367640112,-5.489568737008348
52,67.82742906960372,67.82742906960372,144,12,138,0.0324074074074074,672,poisson_2d,smooth,auto,True,,,,
53,178.06427461085792,178.06427461085792,400,20,380,0.012,1920,anisotropic_poisson_2d,smooth,auto,True,0.0001316391069245,,,
54,80617347744.01854,80617347744.01854,225,15,199,0.021037037037037,1065,high_contrast_diffusion_2d,smooth,auto,True,,1193153141249.191,,
55,28.382955948463525,28.382955948463525,196,14,182,0.0240524781341107,924,convection_diffusion_2d,smooth,auto,False,0.0757508016892828,,-1.4664024685699315,8.585268382265198
56,161.44763879758975,161.44763879758975,361,19,351,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
57,130.64609564386046,130.64609564386046,289,17,261,0.016486871565235,1377,anisotropic_poisson_2d,smooth,auto,True,1.023802245933342e-08,,,
58,50270047.65766712,50270047.65766712,441,21,418,0.0109059496814598,2121,high_contrast_diffusion_2d,smooth,auto,True,,219449204.1480553,,
59,27.87653943899498,27.87653943899498,196,14,195,0.0240524781341107,924,convection_diffusion_2d,smooth,auto,False,0.0263273407574187,,-5.913969499476153,3.0808390154572844
60,195.4914850025218,195.4914850025218,441,21,413,0.0109059496814598,2121,poisson_2d,smooth,auto,True,,,,
61,78.76998224097167,78.76998224097167,169,13,163,0.02776513427401,793,anisotropic_poisson_2d,smooth,auto,True,1.2633758042448613e-08,,,
62,95590348978.64964,95590348978.64964,361,19,348,0.0132672401224668,1729,high_contrast_diffusion_2d,smooth,auto,True,,1051004059248.152,,
63,30.771174590845284,30.771174590845284,256,16,243,0.0185546875,1216,convection_diffusion_2d,smooth,auto,False,0.0050614867621358,,-6.802790618417944,6.361434433069888
64,178.06427461086045,178.06427461086045,400,20,397,0.012,1920,poisson_2d,smooth,auto,True,,,,
65,145.6415786680978,145.6415786680978,324,18,310,0.0147462277091906,1548,anisotropic_poisson_2d,smooth,auto,True,1.6208762998868073e-08,,,
66,2872677.356523584,2872677.356523584,121,11,112,0.0383170548459804,561,high_contrast_diffusion_2d,smooth,auto,True,,11416714.630535873,,
67,45.46145334935132,45.46145334935132,324,18,318,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.0787971346354407,,5.947805275573499,7.365881085938955
68,145.64157866809776,145.64157866809776,324,18,293,0.0147462277091906,1548,poisson_2d,smooth,auto,True,,,,
69,145.64157866809686,145.64157866809686,324,18,318,0.0147462277091906,1548,anisotropic_poisson_2d,smooth,auto,True,3.6557385331723495e-08,,,
70,22857543.59419873,22857543.59419873,196,14,170,0.0240524781341107,924,high_contrast_diffusion_2d,smooth,auto,True,,190154824.3923048,,
71,37.58729387605318,37.58729387605318,324,18,317,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.0328017485556609,,-4.052536449437159,-7.706332646006306
72,161.44763879758975,161.44763879758975,361,19,346,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
73,161.4476387975907,161.4476387975907,361,19,358,0.0132672401224668,1729,anisotropic_poisson_2d,smooth,auto,True,4.664131846241439e-05,,,
74,465463.0409688863,465463.0409688863,169,13,155,0.02776513427401,793,high_contrast_diffusion_2d,smooth,auto,True,,1678097.832845539,,
75,32.105750761929464,32.105750761929464,361,19,335,0.0132672401224668,1729,convection_diffusion_2d,smooth,auto,False,0.004339358594487,,-8.009272509831,2.632878555613088
76,145.64157866809776,145.64157866809776,324,18,297,0.0147462277091906,1548,poisson_2d,smooth,auto,True,,,,
77,213.72926910250808,213.72926910250808,484,22,477,0.0099549211119459,2332,anisotropic_poisson_2d,smooth,auto,True,4.735829113933053e-06,,,
78,20394522.069804985,20394522.069804985,484,22,447,0.0099549211119459,2332,high_contrast_diffusion_2d,smooth,auto,True,,61332232.74949629,,
79,41.94753304935506,41.94753304935506,400,20,392,0.012,1920,convection_diffusion_2d,smooth,auto,False,0.0395485146164434,,-2.934909955106228,8.088955583652098
80,130.64609564385944,130.64609564385944,289,17,261,0.016486871565235,1377,poisson_2d,smooth,auto,True,,,,
81,130.64609564385938,130.64609564385938,289,17,271,0.016486871565235,1377,anisotropic_poisson_2d,smooth,auto,True,1.376095744477115e-07,,,
82,359179838148.44806,359179838148.44806,169,13,150,0.02776513427401,793,high_contrast_diffusion_2d,smooth,auto,True,,1828110513105.5105,,
83,46.34412110953101,46.34412110953101,324,18,297,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.0587441256703113,,-3.06958669245467,-5.128881569332739
84,161.44763879758975,161.44763879758975,361,19,355,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
85,232.77762621841387,232.77762621841387,529,23,493,0.0091230377249938,2553,anisotropic_poisson_2d,smooth,auto,True,3.213748334801802e-06,,,
86,1098014.050890585,1098014.050890585,400,20,387,0.012,1920,high_contrast_diffusion_2d,smooth,auto,True,,5342516.234104063,,
87,37.39481738896899,37.39481738896899,324,18,313,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.0193178014870084,,6.57248791972237,-6.032263235923332
88,178.06427461086045,178.06427461086045,400,20,383,0.012,1920,poisson_2d,smooth,auto,True,,,,
89,145.6415786680983,145.6415786680983,324,18,303,0.0147462277091906,1548,anisotropic_poisson_2d,smooth,auto,True,2.634177809875904e-06,,,
90,111153271750.9304,111153271750.9304,324,18,308,0.0147462277091906,1548,high_contrast_diffusion_2d,smooth,auto,True,,526249141038.7776,,
91,42.27009960858362,42.27009960858362,169,13,155,0.02776513427401,793,convection_diffusion_2d,smooth,auto,False,0.1014136223365883,,-0.3082774714048479,-2.616090784265519
92,90.523130967774,90.523130967774,196,14,180,0.0240524781341107,924,poisson_2d,smooth,auto,True,,,,
93,195.4914850025223,195.4914850025223,441,21,412,0.0109059496814598,2121,anisotropic_poisson_2d,smooth,auto,True,2.639451814284394e-05,,,
94,8635671468.847364,8635671468.847364,289,17,266,0.016486871565235,1377,high_contrast_diffusion_2d,smooth,auto,True,,73900417783.79706,,
95,98.82430139342186,98.82430139342186,324,18,302,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.5048622673952885,,6.218669518616903,-3.2081143968655983
96,161.44763879758975,161.44763879758975,361,19,330,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
97,213.72926910250743,213.72926910250743,484,22,444,0.0099549211119459,2332,anisotropic_poisson_2d,smooth,auto,True,7.281250715878717e-07,,,
98,99901859275.07664,99901859275.07664,256,16,235,0.0185546875,1216,high_contrast_diffusion_2d,smooth,auto,True,,969645616338.5812,,
99,23.94329077431373,23.94329077431373,169,13,150,0.02776513427401,793,convection_diffusion_2d,smooth,auto,False,0.0012726014652613,,-7.064852005247619,-8.750958954076502
